"Lap", "laptime", "driver"
"1 ", "01:36.4693", "Ahmet Serdar Kargulu"
"2 ", "01:25.5400", "Ahmet Serdar Kargulu"
"3 ", "01:23.0850", "Ahmet Serdar Kargulu"
"4 ", "01:22.6070", "Ahmet Serdar Kargulu"
"5 ", "01:23.3570", "Ahmet Serdar Kargulu"
"6 ", "01:22.9500", "Ahmet Serdar Kargulu"
"7 ", "01:23.9350", "Ahmet Serdar Kargulu"
"8 ", "01:23.7250", "Ahmet Serdar Kargulu"
"9 ", "01:23.0320", "Ahmet Serdar Kargulu"
"10 ", "01:23.2750", "Ahmet Serdar Kargulu"
"11 ", "01:22.4600", "Ahmet Serdar Kargulu"
"12 ", "01:24.2220", "Ahmet Serdar Kargulu"
"13 ", "01:22.6400", "Ahmet Serdar Kargulu"
"14 ", "01:23.1420", "Ahmet Serdar Kargulu"
"15 ", "01:23.5520", "Ahmet Serdar Kargulu"
"16 ", "01:23.3270", "Ahmet Serdar Kargulu"
"17 ", "01:23.6150", "Ahmet Serdar Kargulu"
"18 ", "01:24.5170", "Ahmet Serdar Kargulu"
"19 ", "01:23.6470", "Ahmet Serdar Kargulu"
"20 ", "01:23.5600", "Ahmet Serdar Kargulu"
"21 ", "02:13.8450", "Ahmet Serdar Kargulu"
"22 ", "01:27.9620", "Ahmet Serdar Kargulu"
"23 ", "01:24.5870", "Ahmet Serdar Kargulu"
"24 ", "01:23.6250", "Ahmet Serdar Kargulu"
"25 ", "01:24.1450", "Ahmet Serdar Kargulu"
"26 ", "01:23.1670", "Ahmet Serdar Kargulu"
"27 ", "01:22.9470", "Ahmet Serdar Kargulu"
"28 ", "01:23.3370", "Ahmet Serdar Kargulu"
"29 ", "01:23.0800", "Ahmet Serdar Kargulu"
"30 ", "01:23.4970", "Ahmet Serdar Kargulu"
"31 ", "01:23.2900", "Ahmet Serdar Kargulu"
"32 ", "01:23.9500", "Ahmet Serdar Kargulu"
"33 ", "01:23.3400", "Ahmet Serdar Kargulu"
"34 ", "01:23.6300", "Ahmet Serdar Kargulu"
"35 ", "01:25.6820", "Ahmet Serdar Kargulu"
"36 ", "01:23.6850", "Ahmet Serdar Kargulu"
"37 ", "01:23.6050", "Ahmet Serdar Kargulu"
"38 ", "01:23.5520", "Ahmet Serdar Kargulu"
"39 ", "01:24.7720", "Ahmet Serdar Kargulu"
"40 ", "01:23.6650", "Ahmet Serdar Kargulu"
"41 ", "01:23.9920", "Ahmet Serdar Kargulu"
"42 ", "01:23.1000", "Ahmet Serdar Kargulu"
"43 ", "01:23.4370", "Ahmet Serdar Kargulu"
