"Lap", "laptime", "driver"
"1 ", "01:52.4843", "Joshua Allan"
"2 ", "01:46.6170", "Joshua Allan"
"3 ", "01:46.4070", "Joshua Allan"
"4 ", "01:46.1050", "Joshua Allan"
"5 ", "01:46.1900", "Joshua Allan"
"6 ", "01:46.3200", "Joshua Allan"
"7 ", "01:46.1420", "Joshua Allan"
"8 ", "01:46.2520", "Joshua Allan"
"9 ", "01:46.2150", "Joshua Allan"
"10 ", "01:46.3900", "Joshua Allan"
"11 ", "01:46.3320", "Joshua Allan"
"12 ", "01:46.5150", "Joshua Allan"
"13 ", "01:46.5650", "Joshua Allan"
"14 ", "01:46.5520", "Joshua Allan"
"15 ", "01:46.4700", "Joshua Allan"
"16 ", "02:34.4920", "Joshua Allan"
"17 ", "01:51.8050", "Joshua Allan"
"18 ", "01:45.8070", "Joshua Allan"
"19 ", "01:45.8320", "Joshua Allan"
"20 ", "01:45.6370", "Joshua Allan"
"21 ", "01:45.5270", "Joshua Allan"
"22 ", "01:45.5700", "Joshua Allan"
"23 ", "01:45.8070", "Joshua Allan"
"24 ", "01:45.5600", "Joshua Allan"
"25 ", "01:45.6420", "Joshua Allan"
"26 ", "01:45.7800", "Joshua Allan"
"27 ", "01:45.9120", "Joshua Allan"
"28 ", "01:45.9750", "Joshua Allan"
"29 ", "01:45.9670", "Joshua Allan"
"30 ", "01:46.0720", "Joshua Allan"
"31 ", "01:46.1950", "Joshua Allan"
"32 ", "01:46.1600", "Joshua Allan"
"33 ", "01:46.2150", "Joshua Allan"
"34 ", "01:46.4150", "Joshua Allan"
