"Lap", "laptime", "driver"
"1 ", "01:37.4911", "Nicolas Alvarado"
"2 ", "01:29.4170", "Nicolas Alvarado"
"3 ", "01:27.5050", "Nicolas Alvarado"
"4 ", "01:27.5400", "Nicolas Alvarado"
"5 ", "01:27.3600", "Nicolas Alvarado"
"6 ", "01:28.1200", "Nicolas Alvarado"
"7 ", "01:27.2720", "Nicolas Alvarado"
"8 ", "01:28.6870", "Nicolas Alvarado"
"9 ", "01:27.6500", "Nicolas Alvarado"
"10 ", "01:27.4700", "Nicolas Alvarado"
"11 ", "01:27.4100", "Nicolas Alvarado"
"12 ", "01:37.0470", "Nicolas Alvarado"
"13 ", "01:31.7700", "Nicolas Alvarado"
"14 ", "02:17.1900", "Nicolas Alvarado"
"15 ", "01:27.4470", "Nicolas Alvarado"
"16 ", "01:27.0150", "Nicolas Alvarado"
"17 ", "01:26.9020", "Nicolas Alvarado"
"18 ", "01:27.0800", "Nicolas Alvarado"
"19 ", "01:27.2200", "Nicolas Alvarado"
"20 ", "01:27.1220", "Nicolas Alvarado"
"21 ", "01:27.4100", "Nicolas Alvarado"
"22 ", "01:27.3050", "Nicolas Alvarado"
"23 ", "01:27.2200", "Nicolas Alvarado"
"24 ", "01:27.0950", "Nicolas Alvarado"
"25 ", "01:27.1220", "Nicolas Alvarado"
"26 ", "01:27.5020", "Nicolas Alvarado"
"27 ", "01:27.6320", "Nicolas Alvarado"
"28 ", "01:27.5950", "Nicolas Alvarado"
"29 ", "01:27.7100", "Nicolas Alvarado"
"30 ", "01:27.7500", "Nicolas Alvarado"
"31 ", "01:27.5600", "Nicolas Alvarado"
"32 ", "01:28.1550", "Nicolas Alvarado"
"33 ", "01:27.9470", "Nicolas Alvarado"
"34 ", "01:29.5820", "Nicolas Alvarado"
"35 ", "01:31.1400", "Nicolas Alvarado"
"36 ", "01:32.8150", "Nicolas Alvarado"
"37 ", "01:34.2600", "Nicolas Alvarado"
"38 ", "01:35.6700", "Nicolas Alvarado"
"39 ", "01:35.3970", "Nicolas Alvarado"
"40 ", "01:35.0400", "Nicolas Alvarado"
"41 ", "01:35.5570", "Nicolas Alvarado"
